행정구역(읍면동),종사자수,사업체수,급여총액,매출액,영업이익,종사자당 사업체수,종사자당 급여총액,종사자당 매출액,종사자당 영업이익
삼향동,6923.0,1452.0,225942.0,1840147.0,102459.0,0.20973566372959698,32.63642929365882,265.80196446627184,14.79979777553084
삼향읍,32388.0,7452.0,1260646.0,6874440.0,646634.0,0.23008521674694332,38.923243176485116,212.2526861800667,19.965234037297765
삼호읍,49698.0,7176.0,1959652.0,16402334.0,547292.0,0.1443921284558735,39.431204475029176,330.0401223389271,11.012354621916375
상동,12544.0,2430.0,522283.0,1834224.0,97110.0,0.19371811224489796,41.63608099489796,146.22321428571428,7.741549744897959
상사면,1852.0,466.0,44641.0,177402.0,21880.0,0.25161987041036715,24.104211663066955,95.78941684665227,11.81425485961123
생일면,356.0,130.0,8350.0,37687.0,1944.0,0.3651685393258427,23.45505617977528,105.86235955056179,5.46067415730337
서강동,3537.0,1668.0,60465.0,513197.0,52747.0,0.4715860899067006,17.094995759117896,145.09386485722362,14.912920554141929
서면,15856.0,3362.0,447782.0,3325286.0,105722.0,0.21203329969727547,28.240539858728557,209.7178355196771,6.66763370332997
서삼면,828.0,254.0,23006.0,265751.0,46859.0,0.30676328502415456,27.785024154589372,320.95531400966183,56.59299516908212
서호면,718.0,240.0,13422.0,129793.0,5653.0,0.3342618384401114,18.69359331476323,180.77019498607243,7.873259052924791
석곡면,1530.0,510.0,36827.0,248833.0,11879.0,0.3333333333333333,24.069934640522877,162.6359477124183,7.764052287581699
성북동,9466.0,2648.0,271125.0,1218566.0,96910.0,0.2797380097189943,28.641981829706317,128.7308261145151,10.237692795267272
성전면,3531.0,1772.0,65833.0,873116.0,44015.0,0.5018408382894364,18.644293401302747,247.27159444916455,12.465307278391391
세지면,1594.0,620.0,41686.0,456875.0,59168.0,0.3889585947302384,26.15181932245922,286.62170639899625,37.11919698870766
소라면,14034.0,3484.0,478680.0,1935090.0,138750.0,0.24825423970357702,34.10859341598974,137.88584865327064,9.886703719538264
소안면,1057.0,366.0,18385.0,173082.0,16486.0,0.34626300851466413,17.39356669820246,163.74834437086093,15.596972563859982
손불면,1215.0,542.0,23729.0,305255.0,17053.0,0.44609053497942386,19.530041152263376,251.23868312757202,14.035390946502057
송광면,658.0,236.0,15924.0,43195.0,1761.0,0.3586626139817629,24.200607902735563,65.64589665653496,2.67629179331307
송월동,9806.0,2786.0,422235.0,2724559.0,128702.0,0.2841117683051193,43.05884152559658,277.84611462369975,13.124821537833979
송지면,4865.0,1346.0,71824.0,621399.0,96610.0,0.27667009249743063,14.763412127440905,127.7284686536485,19.858170606372045
수북면,2547.0,978.0,63963.0,396801.0,35367.0,0.3839811542991755,25.113074204946997,155.79151943462898,13.885747938751472
승주읍,2109.0,524.0,51082.0,276194.0,13902.0,0.24845898530109056,24.220957799905168,130.9596965386439,6.591749644381223
시전동,17969.0,6150.0,457346.0,2474350.0,81215.0,0.3422561077411097,25.451945016417163,137.70104068117314,4.519728421169792
시종면,1855.0,928.0,33735.0,328759.0,14427.0,0.5002695417789758,18.18598382749326,177.22857142857143,7.777358490566038
신광면,783.0,272.0,13573.0,74817.0,4786.0,0.34738186462324394,17.334610472541506,95.55172413793103,6.112388250319285
신북면,3048.0,1082.0,75418.0,551564.0,60431.0,0.35498687664041995,24.743438320209975,180.95931758530185,19.826443569553806
신의면,1382.0,626.0,14999.0,95080.0,18774.0,0.45296671490593343,10.853111432706223,68.79884225759768,13.58465991316932
신전면,785.0,524.0,8334.0,70803.0,8449.0,0.6675159235668789,10.61656050955414,90.19490445859873,10.763057324840764
신지면,1610.0,672.0,32532.0,334956.0,22577.0,0.41739130434782606,20.206211180124225,208.0472049689441,14.022981366459627
신흥동,22791.0,7968.0,462383.0,5035784.0,260251.0,0.349611688824536,20.287964547409064,220.9549383528586,11.419025053749287
쌍봉동,32602.0,8284.0,846990.0,6060531.0,410245.0,0.2540948408073124,25.979694497270106,185.89445432795534,12.583430464388687
안양면,1840.0,548.0,40625.0,253145.0,25089.0,0.29782608695652174,22.078804347826086,137.5788043478261,13.635326086956521
안좌면,3713.0,550.0,51848.0,463705.0,39237.0,0.14812819822246162,13.963910584433073,124.8868839213574,10.567465661190411
암태면,1139.0,316.0,21831.0,100439.0,14340.0,0.2774363476733977,19.166812993854258,88.18173836698858,12.589991220368745
압해읍,8502.0,1756.0,254682.0,1417794.0,97680.0,0.20653963773229828,29.955539872971066,166.76005645730416,11.489061397318277
약산면,859.0,494.0,14100.0,104165.0,13029.0,0.5750873108265425,16.41443538998836,121.26309662398137,15.167636786961584
엄다면,753.0,282.0,19292.0,295091.0,34737.0,0.3745019920318725,25.620185922974766,391.8871181938911,46.13147410358566
여서동,10564.0,3274.0,234134.0,1128570.0,98204.0,0.3099204846648997,22.163385081408556,106.83169254070428,9.296099962135555
여천동,23790.0,5986.0,662570.0,3081027.0,305840.0,0.2516183270281631,27.850777637662883,129.5093316519546,12.855821773854561
연동,4419.0,1816.0,73415.0,533571.0,37461.0,0.41095270423172664,16.613487214301877,120.74473862864902,8.477257298031228
